city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,wind_deg,weather_main,wind_speed
ha noi,48,1316.1505299790529,2025-01-01,125,102,Other,291.64778348832624,10,21,20,4,17.97909964942039,225.9481520933541,108.02434308545674,4,47,113.55925086774447,114.6626358262838,73.39794030689336,Moderate,992.1688813698572,13.41091732791031,292.5726994561744,1,4,7253,thunderstorm,137,Clear,4.680029048782926
ha noi,71,1110.4490460410323,2025-01-02,94,105,Road maintenance,302.70714866439636,1,19,58,3,15.898914604168185,87.55732641448388,109.63870842825277,1,31,95.83210739201822,110.90085924194702,74.23587840597833,High,1012.6441877878327,23.425403007599588,308.87039342611683,4,0,12844,clear sky,225,Rain,4.554266575949338
ha noi,97,1146.6129549931734,2025-01-03,221,107,Accident,306.59015027337614,3,15,69,2,16.745719369537067,236.7081331537024,109.53909001234216,2,27,64.1574680159626,73.68894737244345,60.425697696371074,High,1016.0347422926861,25.228397803748862,305.06970285995476,2,4,10453,clear sky,94,Thunderstorm,7.3954695104437995
da nang,16,1398.300048469409,2025-01-04,203,108,Heavy congestion,307.12330064136523,4,12,86,5,16.755851739998462,63.36552471700147,107.59361665684266,2,51,74.2444327451268,146.31326285786096,142.03624524158323,High,1002.9320278114164,27.983041428969077,299.37226110697685,4,1,20000,few clouds,133,Clear,5.318367327800946
da nang,24,1138.3707451818282,2025-01-05,83,100,Stationary traffic,306.6422531115403,8,14,44,5,17.233117041973497,80.97272974279471,107.92678883748235,4,12,156.03533764630973,91.34931444825676,107.54315817766579,Low,1014.2365925547247,29.017482431910057,303.2075032540125,4,3,12699,few clouds,201,Thunderstorm,5.860609978379033
ha noi,32,731.6755895376481,2025-01-06,182,104,Queuing traffic,287.1482626711102,1,19,83,3,16.234561273461434,238.0073266590412,109.09819881132542,4,18,73.11193570591773,124.47585932082265,127.59933946277665,Moderate,1005.4610816285507,29.138293791423628,307.67698103738,2,9,5000,rain,15,Clouds,5.128136074617719
ha noi,80,916.809220668163,2025-01-07,259,105,Heavy congestion,309.8658749941554,1,11,28,7,14.937842340441113,249.018707797771,108.3850823429701,1,4,107.30621651397652,63.51318402309667,75.64145192777924,Low,1010.546654466563,29.569331845621093,301.05011228723595,4,4,8394,rain,329,Thunderstorm,9.554683823550267
ha noi,27,1399.4135007208226,2025-01-08,167,103,Stationary traffic,311.44343015264053,8,4,77,8,15.451719416928288,269.9689042534154,109.05051793387284,2,49,61.913365658917456,58.10545615936441,77.53177126760005,Moderate,1018.5031010509535,15.177144155351526,303.29939821145064,4,4,5186,scattered clouds,272,Rain,9.109858453729416
da nang,68,1236.6998314984453,2025-01-09,11,108,Stationary traffic,301.73418786230303,1,4,62,4,17.682524626364746,254.1599228962887,109.65233048328663,1,38,108.3317849042649,120.52447562084711,66.2323835317855,Moderate,1014.3394965527822,17.978274519916965,293.46227091262426,3,5,19182,scattered clouds,359,Thunderstorm,5.880678552421311
ho chi minh city,77,1477.5274193143118,2025-01-10,98,100,Closed,311.1956872197253,6,15,27,1,16.490903594755284,257.7510551455577,108.62958654304789,4,41,60.47057380605591,113.61525600384861,114.41642780853678,Low,1019.1396788960991,16.781725725956623,292.29376936974677,1,3,11694,few clouds,221,Rain,9.28911552957894
da nang,95,672.8021069113666,2025-01-11,126,109,Other,296.85449741430085,5,1,61,4,16.588186911660806,223.93485126512203,107.32715671499068,3,7,72.03942947165372,56.91218456707259,89.56588683146973,Low,1011.1807951645081,13.283909213808665,302.0783837083572,1,8,5000,scattered clouds,202,Clear,1.6312636584664624
ha noi,77,966.8233514282228,2025-01-12,168,107,Accident,309.1452421647124,2,18,81,8,17.497262449916327,180.8677325147041,108.91954280315893,4,58,146.28408512693434,123.07480962344049,95.86479448152149,High,1014.7718310950888,22.78245377909499,298.03423866075576,1,7,5000,scattered clouds,207,Rain,5.251384998326796
ha noi,15,1289.9006363955586,2025-01-13,179,100,Heavy congestion,293.16798823075993,6,14,70,4,16.74947054784633,241.0768903928249,108.05713065225817,4,4,105.98707190240427,121.81162509767488,150.04485313545158,Low,1019.0333694972016,22.684618055528766,287.30303667183034,1,6,9456,thunderstorm,72,Clouds,1.6404987113658016
ho chi minh city,76,1368.870158604284,2025-01-14,207,107,Accident,294.91586245544624,4,1,57,5,15.816275620821012,180.14130894796088,109.65287036360961,2,58,130.85551841921279,82.9173383637906,70.03582170169285,Moderate,996.1393996524467,10.954842517640358,306.57513900184153,3,9,12757,rain,259,Rain,10.445822408068924
da nang,60,1433.2149020535785,2025-01-15,156,105,Road maintenance,291.0450506179514,10,12,55,6,17.558203435277235,83.99453683817367,109.5858072028867,4,26,120.67683872130632,117.49626644597863,78.64946742492806,Low,1015.9872802814766,22.729264796363992,293.8480753886668,1,2,10972,rain,252,Clear,2.162720814715205
da nang,87,983.1804785019174,2025-01-16,233,107,Stationary traffic,307.7372415970663,2,7,67,5,16.44150790418842,109.1139482991181,110.03240278591743,1,42,149.19807874679694,75.01325825655532,61.21021947883286,High,1007.247089888142,22.32344485029279,296.3808972388977,2,2,20000,scattered clouds,114,Rain,7.426770224754422
da nang,98,883.1223014026748,2025-01-17,57,109,Heavy congestion,304.8726136238994,4,4,66,9,17.546334580460943,180.38549990279822,108.23179547160666,4,14,116.99995976998497,84.30827134081117,86.318032537448,Moderate,1012.9642493380142,27.379401286792383,308.9720181930106,3,4,20000,scattered clouds,111,Thunderstorm,0.9439918356720127
ho chi minh city,6,877.3467229738735,2025-01-18,180,107,Road maintenance,296.43437888559095,5,23,88,6,15.657854244270858,288.81134373823284,109.78097301556127,4,15,101.79548726419067,70.1244275954046,124.43750106051654,Moderate,1010.3728342687106,17.695070851789346,292.4892548860255,2,3,15988,rain,35,Thunderstorm,3.542958588810447
ho chi minh city,39,1350.1093392308635,2025-01-19,134,105,Closed,299.68988303958645,5,11,100,8,17.26439197273517,205.947298117988,108.24802351893095,1,41,79.86748355239328,161.46273277784184,123.1597740258553,High,1028.0479849215117,27.429348662851147,295.32478133528633,1,9,5000,thunderstorm,265,Rain,5.51282052469074
da nang,26,1383.8382290477423,2025-01-20,0,106,Queuing traffic,303.3276559018058,1,20,86,5,16.45910888887934,173.22774308578738,108.77068202988049,2,1,144.3444030575764,55.40525533381659,124.8252440768001,Low,1021.0868711474118,15.751849155566415,304.23310037167937,5,2,19371,thunderstorm,106,Rain,4.6965636576182215
da nang,100,1361.2369140896255,2025-01-21,178,109,Queuing traffic,295.8572079718512,8,8,72,4,16.53924662877778,224.06656500412205,108.1085279792009,2,58,77.931521568915,85.68005560088434,84.06748257956019,Low,1022.3218942927275,21.85909650892403,292.10512484762233,4,5,6922,few clouds,223,Clear,2.7682405997164543
ho chi minh city,40,1467.61682300961,2025-01-22,146,109,Heavy congestion,308.8835578679432,5,22,35,2,17.71916128410947,147.42446821220395,107.4505812561531,3,15,79.75106137145232,90.00000727446786,116.00555350395828,Moderate,1012.7068228762444,9.989686928638132,295.3014557751615,2,6,20000,thunderstorm,268,Clear,6.486117683522084
ha noi,90,1457.9348444091063,2025-01-23,178,103,Heavy congestion,291.34083344878337,5,19,61,2,15.991899854946574,155.9665119438403,107.07930738373312,1,49,143.82555252098123,139.1596005143943,119.90149822506936,High,1005.2808730283596,25.714660419225133,302.774113572406,5,4,6874,scattered clouds,323,Clear,0.7609177568793262
ho chi minh city,2,1196.673291915666,2025-01-24,194,105,Queuing traffic,301.0216663375657,3,15,68,1,16.19356386426723,247.54195527413884,109.71100375248066,4,2,150.28918983859495,41.009631199819296,64.2444667409141,Moderate,1013.5868434503786,9.483569346088984,307.48817374779793,2,5,20000,thunderstorm,78,Thunderstorm,2.282549307170612
ho chi minh city,88,1128.2382415514496,2025-01-25,197,109,Stationary traffic,294.16759029858775,3,5,54,8,16.681362417454878,125.4113218001423,109.67210151897898,1,4,120.29789469597812,62.077321751857525,119.79076423045817,High,1024.170804178064,17.67097526659323,305.2980053172407,2,1,8218,scattered clouds,27,Thunderstorm,6.566010821246062
da nang,79,1265.463635676021,2025-01-26,44,103,Stationary traffic,289.07076324932774,9,13,76,5,16.236260060112247,207.83305899654195,108.94645763160415,3,25,92.6394209277606,85.38514406944235,68.84029683551839,Moderate,999.583943635632,31.311610878710972,299.0388074468408,5,9,19717,clear sky,293,Clear,2.6318549372738884
da nang,26,941.0106410948703,2025-01-27,247,109,Stationary traffic,307.90835372586196,4,1,62,3,17.78574741918512,154.0490473938351,107.80903897265654,1,53,83.53981765602734,151.14974260187748,98.05032534479332,Moderate,1015.8327242815667,16.5240534540361,290.7959945459228,5,5,14473,rain,299,Rain,6.62081816442199
ha noi,59,1174.7125331853156,2025-01-28,179,107,Closed,290.3790614694045,10,4,41,7,15.143386493395175,188.8006469799036,108.06930037788977,1,26,39.48899855277386,95.7717181406535,80.90016668973472,High,1010.1204737192377,29.033382481735032,296.60159281027154,3,5,15777,clear sky,0,Clear,3.915621340709736
ho chi minh city,88,1355.0709365795474,2025-01-29,120,102,Queuing traffic,292.11344286541004,2,21,67,7,17.275284731764536,201.64420088229022,107.005484808732,3,44,51.96421911978721,126.40905154503692,71.04772972814871,Moderate,1021.0016415769304,25.411767149383667,304.16551507944575,5,5,18562,scattered clouds,60,Clouds,1.401487532206592
ho chi minh city,94,947.8437373906424,2025-01-30,300,106,Stationary traffic,296.3570449434922,1,20,61,8,16.81784645063542,231.5211222996721,107.21658847906104,1,55,54.67245136526262,143.9133848179488,103.37865863185536,High,1013.6352806880953,13.023530760581714,296.37547526951596,2,1,17654,scattered clouds,308,Clouds,2.7980411507753895
ha noi,19,909.1449720838414,2025-01-31,126,100,Other,306.60305471040607,3,2,69,2,16.56982945263678,210.90336607332452,109.25012102381112,1,27,111.85508044731037,62.00663656004279,81.68952850840779,High,1013.5919934628851,22.32272004255904,308.05794021566015,5,2,5000,few clouds,353,Rain,1.7531876304039902
ho chi minh city,16,1295.3372042302656,2025-02-01,170,105,Other,309.86434264689996,1,22,68,4,17.632178428387853,54.623925037660335,107.41732725343144,3,28,132.9138149096188,134.50829350020908,117.9129493296015,Low,1018.948876022085,17.886744032797523,291.24888815696863,2,10,16968,clear sky,50,Clear,3.6355281535552657
ha noi,79,1265.921573097229,2025-02-02,208,107,Stationary traffic,295.2634853396581,1,2,27,9,15.282143521096598,156.84777725480274,109.2088059170257,2,55,124.98095922072152,145.7133739164509,145.04917123014437,Moderate,1026.7205597071563,13.798671702585047,290.7148724988296,2,0,12086,thunderstorm,229,Thunderstorm,8.861541078019588
da nang,34,1220.7457604373292,2025-02-03,238,102,Closed,299.36373303270074,7,12,82,4,15.308738120601165,64.00648805492331,108.06071910198851,3,1,136.26298463099604,53.40332730395142,103.0952210027252,Low,1008.5152693952156,26.181695316994563,291.7078762073131,2,6,11331,clear sky,18,Thunderstorm,3.3115325244227125
da nang,69,1502.3289965351048,2025-02-04,245,103,Heavy congestion,304.8215986613532,4,14,48,7,15.282451525826563,102.51686425486879,108.21626590889997,1,9,77.6798654731887,65.23403790110916,129.26334101877055,Low,1017.5857010846069,24.786687468751516,292.05607462161544,2,0,11524,rain,251,Clouds,3.071546415322345
ha noi,50,1286.009447549926,2025-02-05,160,100,Road maintenance,307.5718849750339,7,20,37,6,16.212274913925548,56.68340741851641,107.517861855403,2,38,142.6409599511706,152.004806586825,83.45358584831266,Low,1013.8798815836393,9.620870781054116,311.1498508221617,3,6,17083,rain,189,Clouds,10.449426615653923
da nang,48,1301.3117643428545,2025-02-06,176,101,Other,307.21187640772274,2,18,80,5,15.000639508522081,77.47189134057838,107.25642144406979,4,47,59.05703055411155,175.66403219781455,71.32725133715851,Low,1014.2018161000684,13.680987926608951,293.030283481704,5,4,9380,thunderstorm,330,Clouds,1.6033723105972282
ha noi,55,1293.445362511716,2025-02-07,224,107,Other,299.1213580287316,2,2,83,6,16.808942046733428,153.35757945126622,109.25845216489371,4,23,54.89269505757491,96.60577518327335,55.9843502730629,Low,1004.8609183989286,5.298580507516029,304.87471194075516,1,3,12439,rain,72,Clouds,3.769242326407806
