city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,wind_deg,weather_main,wind_speed
ha noi,92,1203.3234852746982,2025-01-01,204,104,Heavy congestion,301.786866778596,7,8,29,2,15.300493557595555,160.64521912864882,108.0519482133939,1,59,78.50599416022635,139.75734570601918,94.38507558323525,Moderate,1005.4682749467553,26.715332336494352,305.98440276683533,5,5,7007,rain,60,Clear,2.580005197961142
ho chi minh city,93,1459.2046305731678,2025-01-02,129,107,Stationary traffic,295.5400362050679,3,1,49,7,16.37338913754281,204.88438236091844,108.0278896047335,4,11,144.11638081360468,125.24023903993545,107.18336737139248,Moderate,1018.2689829229754,27.065627525217543,299.78813776310335,5,5,6220,thunderstorm,17,Clouds,2.2744686083589265
ha noi,79,1116.596851798922,2025-01-03,1,102,Other,296.0376615321267,4,5,61,8,16.721981829558505,299.37106260557766,108.96927385731641,4,34,106.08311472386843,89.60645421672646,78.74498601388848,Low,1005.7564355766985,20.195318797557924,293.7663624643582,1,2,10286,few clouds,277,Clear,7.609637374641705
da nang,19,935.7284782999301,2025-01-04,153,103,Road maintenance,302.56346556465587,6,13,96,7,16.975999797001187,156.95885325065873,107.47851856323356,1,44,55.707962536637226,71.89445319899448,113.78830205928134,Low,1024.3446838738591,10.183269551519317,305.2937343567357,2,8,10755,thunderstorm,347,Rain,5.455874788198436
da nang,93,1445.2805124819095,2025-01-05,166,105,Road maintenance,309.9473753962284,8,4,36,8,16.45537260488508,222.89843176022936,109.95786758649142,2,20,124.89652640650894,99.59384229992517,67.42428724987059,Moderate,1002.4193999828027,25.779942608004383,293.2155690919726,3,7,16345,rain,176,Thunderstorm,8.356771842188891
ho chi minh city,67,1251.6016218151206,2025-01-06,299,105,Queuing traffic,291.7829584473461,5,1,78,6,17.150929287728044,93.92171939560143,108.18571875366617,3,12,144.346575091666,99.31472106767713,66.77313900632431,Low,1009.001395837366,25.957232145462108,297.70254935798374,5,4,6811,scattered clouds,252,Clear,3.0881182611580615
ha noi,97,1417.0865522690456,2025-01-07,143,105,Heavy congestion,294.0095048365774,5,18,68,7,17.736366953052922,206.29284912925405,109.74942555584957,3,20,144.20080088729088,94.61759052326465,121.27519217780741,Low,1013.6482707577454,11.68625597363059,291.47970804347716,3,8,15869,thunderstorm,350,Rain,5.277251542650427
da nang,72,1075.2432321744816,2025-01-08,138,107,Queuing traffic,308.5067192035201,7,10,92,1,17.466639790151767,242.24251760356273,107.30182111090683,2,38,55.56538057195055,118.44590750908486,135.95803365492628,Moderate,1013.9150978969329,16.97967074993337,291.597913627282,3,5,7215,thunderstorm,178,Rain,8.283391410695073
ho chi minh city,6,1485.7814310787778,2025-01-09,8,107,Road maintenance,305.02258452101523,4,23,49,9,16.498798323600305,169.39176664063814,107.69448467456142,2,18,90.64886696750429,96.62313519861569,87.75083936995998,High,1002.2146524927348,13.597279535806354,304.2780809390048,4,0,19517,rain,50,Clouds,8.005800848434017
ha noi,33,826.2282590180585,2025-01-10,122,107,Heavy congestion,292.44924684549306,6,21,51,8,16.122714095683783,181.2016265430482,107.42987969062457,2,23,108.58754534995421,55.11075927962956,85.63649791901847,Moderate,1011.3635693691599,20.27016204616335,300.7633492028698,1,5,8849,clear sky,274,Thunderstorm,4.673068548690804
