city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,wind_deg,weather_main,wind_speed
da nang,24,1366.4423034780345,2025-01-01,157,108,Closed,309.7453243333441,5,11,77,4,15.659224437677773,216.63567605046018,108.47734743471663,2,5,75.10142962268331,142.35364490672373,118.54539037754597,Moderate,1006.7855274008446,26.459713633745196,300.38796977227855,1,5,13542,rain,193,Clear,1.3629235546024825
ho chi minh city,63,1089.8641693598324,2025-01-02,226,106,Road maintenance,293.7372595353797,5,17,86,6,15.417899818307431,188.76546422339263,108.96600584747529,1,15,117.26592847604186,78.31687210166736,144.2170623516419,Moderate,1017.1391717047192,20.783327360502362,296.6715278710766,3,6,20000,few clouds,221,Clouds,1.453913857528378
da nang,71,1020.847717896358,2025-01-03,68,103,Accident,291.1282260383651,4,6,55,5,15.8102783896801,266.8602131388979,107.15630184766184,2,41,63.67353123319711,79.31075397664284,91.78195825155012,Moderate,1014.9461894059965,21.206645167609466,305.9389079669642,1,3,13915,clear sky,161,Rain,1.8809379107587225
ha noi,47,1268.121600115861,2025-01-04,77,107,Queuing traffic,301.08663091714345,1,4,54,9,17.319361627266083,103.74694960079042,107.94480778751284,2,12,68.14156844139092,100.78194094357207,150.9312958344207,Moderate,1014.695255772885,24.776144823087265,299.2982823409331,2,4,19538,rain,258,Thunderstorm,8.576651258163324
da nang,47,1415.6428315655546,2025-01-05,173,101,Stationary traffic,299.527330072606,3,12,69,6,16.507474116969373,293.2230301968769,109.78687340575209,1,3,109.95494173277397,125.86603641277581,79.51692786513193,Moderate,1012.9467766981195,12.81205054280299,299.11320441702435,1,4,5000,few clouds,166,Clouds,9.288082000431848
ho chi minh city,37,934.304672142365,2025-01-06,216,109,Queuing traffic,309.6631628651286,7,9,60,5,16.683715890906903,80.85923825025242,108.70451411217591,1,50,108.09665594108071,93.70151615269987,114.39696639543796,Low,1004.1138777161786,23.01456932282414,300.3726407936682,4,2,10590,thunderstorm,316,Clouds,5.0169404296592255
ha noi,45,958.4863627596268,2025-01-07,130,108,Closed,305.40622989923185,5,7,66,1,17.62262669328021,163.8255477159443,108.06847587228303,2,33,59.66177099644795,152.52084397824908,129.3448833971469,Moderate,998.489549125086,20.012827851121127,296.1190611133927,2,9,16594,thunderstorm,289,Rain,7.975430270814759
ha noi,44,962.8677934375983,2025-01-08,181,109,Road maintenance,301.8328454966078,7,19,62,6,16.681162824213033,118.34586086236325,108.04845609722206,2,25,40.444185810211295,116.43667074146775,116.80590668594543,Low,1008.7066167812944,13.4018936741131,296.3542127756026,3,4,13510,clear sky,27,Rain,3.6175090639096803
ha noi,55,909.8986102551058,2025-01-09,184,104,Accident,303.9875924028611,2,12,66,1,16.78181701353069,217.94793300273588,107.63950419414611,1,20,109.01991701373099,132.00812396823557,67.53493143581646,Low,1008.9549968843246,13.61841395666024,294.43726692261396,3,3,13522,few clouds,136,Clear,1.5814345586764935
da nang,60,1387.8381662933223,2025-01-10,129,103,Stationary traffic,296.71131623348714,2,8,29,3,17.078620902466405,120.64105686765278,108.98281420369412,4,48,86.94331148293307,137.71555181320514,130.13441104187143,Moderate,1007.4538433687484,11.94375045192399,299.5700632449488,2,4,12910,thunderstorm,223,Thunderstorm,1.4474146191737254
