_id,city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,weather_main,wind_deg,wind_speed
6e379e0388bd8191d6e77c3166d656e6,ha noi,100,2651.05,2025-01-07,157.0,108,Queuing traffic,294.78,10,8,53,6,21.0285,499.7176551122,105.8048,2,37,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
c1c140e425ed047131906a73a7496f3a,ha noi,100,2741.7,2025-01-07,124.0,101,Stationary traffic,294.78,10,8,53,6,21.0285,256.3553498978,105.8048,3,56,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
7065514cbdbe870f278d79c3389ed521,ha noi,100,2741.7,2025-01-07,294.0,108,Queuing traffic,294.78,10,8,53,6,21.0285,1185.2176563266,105.8048,2,58,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
e71b7936b680b35e35e4d8b5bc64a69b,ha noi,100,2651.05,2025-01-07,156.0,101,Stationary traffic,294.73,10,8,51,6,21.0285,350.3448556376,105.8048,3,26,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
b6bf2cf53bbe77f919873538fcc16acc,ha noi,100,2741.7,2025-01-07,102.0,108,Queuing traffic,294.73,10,8,51,6,21.03,345.5246379693,105.8,2,8,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,132,2.13
28fb5d955a9daff7a276a25f7e3215c3,ha noi,100,2741.7,2025-01-07,145.0,115,Slow traffic,294.78,10,8,53,6,21.0285,926.6131606679,105.8048,1,58,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
1c0be76b9b7d5f893e021e7b606cd919,ha noi,100,2741.7,2025-01-07,127.0,108,Queuing traffic,294.78,10,8,53,6,21.0285,227.5275935439,105.8048,2,46,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
646bbe917f37eb22c8aabf9f0935bad2,da nang,20,1050.8,2025-01-07,139.0,101,Stationary traffic,298.4,10,8,65,6,16.0454,280.0774222756,108.2096,3,46,101.0,117.66,115.07,Low,1013,18.685,298.15,4,4.0,10000,few clouds,Clouds,90,3.6
5f41b2d9ec4b50afb4528f6234331938,ho chi minh city,40,3516.85,2025-01-07,158.0,108,Queuing traffic,305.35,10,8,68,6,10.7626,466.8231278607,106.6602,2,52,42.0,155.03,153.365,High,1008,93.425,302.07,5,8.0,10000,scattered clouds,Clouds,160,4.12
a62233056b2ac42e56e96967d3f4da0d,da nang,20,1050.8,2025-01-07,134.0,108,Queuing traffic,297.4,10,8,69,6,16.0471,598.1566772786,108.2062,2,48,101.0,117.66,115.07,Low,1014,18.685,297.14,4,4.0,10000,few clouds,Clouds,90,3.09
